,Web_browser,operating_system,from_url,to_url,city,longitude,latitude,time_zone,time_in,time_out
2429,Microsoft Internet Explorer,Windows,direct,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,2012-03-16 19:19:52,2012-03-16 18:16:41
2464,Microsoft Internet Explorer,Windows,direct,www.us.army.mil,Spring Lake,35.226799,-78.9562,America/New_York,2012-03-16 19:20:24,2010-01-06 20:30:54
2494,Microsoft Internet Explorer,Windows,www.shoeman.org,www.irs.gov,Jefferson City,38.4814,-92.127296,America/Chicago,2012-03-16 19:20:57,2010-04-13 12:11:50
2672,Microsoft Internet Explorer,Windows,www.facebook.com,www.benning.army.mil,Chicago,41.8675,-87.6744,America/Chicago,2012-03-16 19:24:33,2010-12-02 07:43:17
2728,Chrome,Windows,t.co,neo.jpl.nasa.gov,Pietarsaari,63.650002,22.6833,Europe/Helsinki,2012-03-16 19:25:34,2012-03-06 23:12:30
2732,Microsoft Internet Explorer,Windows,fightbac.org,www.cdc.gov,Tacoma,47.198002,-122.447304,America/Los_Angeles,2012-03-16 19:25:36,2010-12-15 14:40:29
2838,Firefox,Linux,www.youtube.com,www.copyright.gov,Moscow,41.312,-75.539497,America/New_York,2012-03-16 19:27:16,2012-01-26 00:55:49
2876,Microsoft Internet Explorer,Windows,direct,www.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 19:28:05,2012-03-16 18:16:41
2979,Microsoft Internet Explorer,Windows,www.shoeman.org,www.irs.gov,Jefferson City,38.4814,-92.127296,America/Chicago,2012-03-16 19:30:14,2010-04-13 12:11:50
2982,Firefox,Windows,direct,dmv.vermont.gov,Lyndonville,44.5326,-72.046997,America/New_York,2012-03-16 19:30:28,2011-01-11 16:16:38
2991,Firefox,Windows,www.facebook.com,www.cdcr.ca.gov,Ventura,34.286301,-119.2267,America/Los_Angeles,2012-03-16 19:30:46,2009-07-23 14:55:50
3026,Microsoft Internet Explorer,Windows,direct,www.fda.gov,Ottawa,45.416698,-75.699997,America/Rainy_River,2012-03-16 19:31:37,2011-11-01 14:52:33
3084,Microsoft Internet Explorer,Windows,direct,www.ncbi.nlm.nih.gov,Ballerup,55.733299,12.3667,Europe/Copenhagen,2012-03-16 19:32:46,2011-03-09 16:02:13
3092,Microsoft Internet Explorer,Windows,www.facebook.com,www.benning.army.mil,Chicago,41.8675,-87.6744,America/Chicago,2012-03-16 19:32:50,2010-12-02 07:43:17
3172,Chrome,Macintosh,www.facebook.com,www.ncbi.nlm.nih.gov,Quakers Hill,-33.733299,150.883301,Australia/NSW,2012-03-16 19:34:28,2012-03-16 07:09:17
3377,Microsoft Internet Explorer,Windows,direct,www.cnic.navy.mil,Honolulu,21.3139,-157.824493,Pacific/Honolulu,2012-03-16 19:39:25,2012-03-16 18:33:32
3392,Microsoft Internet Explorer,Windows,www.lymphomation.org,seer.cancer.gov,Sheridan,34.290298,-92.384697,America/Chicago,2012-03-16 19:39:45,2009-12-01 10:54:17
